lat lon id secret server farm org.scrt fmt
-28.300344 140.227555 4067416541 1b69424912 2459 3 39 photo
-28.300377 140.227591 4068165388 a034c946da 2457 3 27 photo
-28.300399 140.227531 4068166084 ce18968f96 2668 3 26 photo
-28.716685 140.141672 4074101971 a39bcba367 2659 3 33 photo
-28.712667 140.145166 8700908533 7421c31135 8278 9 a5103c3e18 jpg
-28.713167 140.1465 8700909521 68e4bac4cc 8276 9 cf8f3c4612 jpg
-28.713167 140.1465 8700911597 308cc0a311 8403 9 7e7f6607c6 jpg
-28.7135 140.1465 8700912017 0b5944b852 8267 9 c5817bf19f jpg
-28.7135 140.1465 8700912527 89aa78ccc8 8140 9 2b894e40d4 jpg
-28.712667 140.145333 8702030110 5537c23414 8257 9 243b1a161a jpg
-28.712667 140.146 8702031000 8990999aef 8254 9 edf96fc661 jpg
-28.712667 140.145166 8702031796 12ca4f72ba 8408 9 fde147325a jpg
-28.713167 140.1465 8702032980 23d7fa067e 8399 9 6545db6361 jpg
