lat lon id secret server farm org.scrt fmt
0.606499 37.648333 10429604676 f7ab588087 7355 8 48fc95348e jpg
0.595833 37.636166 10983424403 64f6a614af 5473 6 90388b283d jpg
0.618055 37.53 2856784420 64882fb882 3042 4 83d76d3746 jpg
0.601222 37.644227 4432260826 62f1139df8 4040 5 466 photo
0.665005 37.708672 4645740670 390e98f6ae 4044 5 4 photo
0.878871 37.705078 5146457647 2679e56841 4103 5 108 photo
0.602333 37.648666 5202697117 c54227b9d1 5085 6 57623a28a0 jpg
0.629666 37.6425 5202711387 141dbf611c 4131 5 34fd0a0209 jpg
0.6295 37.642666 5202711627 3984bf56a9 4089 5 d8dfc4e0fb jpg
0.628833 37.642666 5202714641 d6cc6d76b7 5087 6 6d0104c5cc jpg
0.6295 37.642666 5202715131 c203d8be1e 5121 6 b681bea007 jpg
0.636666 37.664 5202715279 acfeef2683 4133 5 5630eed372 jpg
0.629666 37.642166 5203301868 ff8948abc9 4092 5 b89a0934cc jpg
0.6295 37.642666 5203309288 c1266ccdae 5161 6 c7c2117ae1 jpg
0.6295 37.642666 5203309448 486dca4c9c 4108 5 3397e88879 jpg
0.595205 37.595038 5225192112 2dba4d9f5a 4144 5 1148 photo
0.599502 37.583583 5238155647 a6fc42c590 5248 6 1613 photo
0.602211 37.580233 5238156339 a88a0a06bb 5084 6 1691 photo
0.605277 37.583102 5238753074 c6321180be 5044 6 1497 photo
0.594094 37.61155 5238755526 a249d77c11 5284 6 1431 photo
37.6 0.983333 5437166168 87bea1b8f7 4109 5 d0b2a79c80 jpg
0.618056 37.53 5529383123 62468d2e64 5177 6 128 photo
0.63883 37.64918 5726594031 4ccc4fd6c9 5189 6 4314 photo
0.598443 37.647717 6463969987 bcc67bac8f 7029 8 ec885acd4d jpg
0.637427 37.654455 6551132373 3719b4fc6d 7153 8 2cb86a43b2 jpg
0.834931 37.705078 6958575504 5ca22c61e4 7125 8 88 photo
0.616595 37.652893 7662586506 e5ef93d057 7139 8 ce24369342 jpg
0.613849 37.654266 7662743152 65b7b68e4f 7254 8 a198487a86 jpg
0.612476 37.657012 7662744566 99415046b8 8286 9 5fe9d882b9 jpg
0.619342 37.64328 7662876002 9cf2bb2c1e 8027 9 c5c1a9d5b1 jpg
0.617968 37.648773 7662890564 9107cf30b8 8283 9 c08dccb3c3 jpg
0.615222 37.650146 7662891878 d3e898607b 8166 9 39872a7fd5 jpg
0.613849 37.650146 7662894222 91bbd01d92 8433 9 932dd20585 jpg
0.615222 37.651519 7662950934 4da7cd74b4 7267 8 59209c527b jpg
0.619342 37.657012 7667191892 b26a4a02fd 8004 9 788949504f jpg
0.616595 37.651519 7667300534 6382c8c59d 7270 8 fa4cd6f859 jpg
0.630456 37.642643 7765064048 c9c2317374 7132 8 226 photo
0.631529 37.639896 7767307526 3eb420a48f 8439 9 327 photo
0.602513 37.583736 8477467239 d4243c9d78 8381 9 5edc13393f jpg
0.693261 37.35058 8491835493 12e305c57d 8099 9 7d9f8c2832 jpg
0.634366 37.384661 8543689327 9ee6e1992f 8369 9 2b83f92834 jpg
0.693236 37.35025 8544979735 6a43209c67 8529 9 4f9bde8f57 jpg
0.693236 37.35025 8547063393 f8573ec7a9 8365 9 fe7532b2c9 jpg
0.693236 37.35025 8547080339 fe909dd3e3 8532 9 6a9c7bced5 jpg
0.693236 37.35025 8548193148 90166e5dbe 8243 9 247e3944bf jpg
0.693236 37.35025 8548193580 ff5525f395 8107 9 de1616cbcc jpg
0.693236 37.35025 8548194184 001472471a 8514 9 e2624561af jpg
0.693236 37.35025 8548728061 daafcda93f 8506 9 f72034b21c jpg
0.63195 37.349988 8548965497 19291ec748 8373 9 f0a48e320f jpg
0.628469 37.386766 8552195816 c6941f98ff 8244 9 3e2869ee5a jpg
0.645402 37.343741 8553522483 dca4a4cc9e 8235 9 ebb78ddcd8 jpg
0.645402 37.343741 8554627316 bbede22e4d 8106 9 5ebf3d5f68 jpg
0.63195 37.349988 8558482297 b37433f286 8370 9 c5d1d242e6 jpg
0.604072 37.474669 8566248292 ee390a4e17 8095 9 e0ef5227f2 jpg
0.659686 37.343361 8590839132 dc9a5dc257 8232 9 9d083206da jpg
0.602513 37.583736 8594937187 a6320c3a24 8250 9 ef1a80c7fa jpg
0.63458 37.38464 8597505090 d506299315 8232 9 ce967c6126 jpg
0.593872 37.622002 8604320431 d281876aa3 8402 9 23 photo
0.599886 37.598811 8604457409 c44bac3965 8239 9 16 photo
0.597111 37.643394 8605521490 24f9f43d7e 8105 9 9 photo
0.593944 37.621925 9196239315 a1ae8b79fc 3792 4 17 photo
0.593994 37.622038 9199061198 abdbeef60b 5324 6 6 photo
0.593872 37.622002 9295371491 8258b35495 7283 8 24 photo
0.611102 37.527923 9378599482 6045928f86 3710 4 de47b794b3 jpg
0.603291 37.577361 9465870527 a0a2642ec7 3792 4 1cf8f8b36f jpg
0.603463 37.577105 9465872225 69f15ced57 3754 4 ca2416e16b jpg
0.603291 37.577105 9465874163 983649e764 2805 3 4648061f7e jpg
0.623202 37.618902 9465878321 84d756d931 3824 4 c4740b7145 jpg
0.618311 37.625083 9465883905 747b8c573e 2833 3 083a02cc08 jpg
0.616552 37.55363 9466013431 711ee1040a 7403 8 679180f16c jpg
0.619427 37.555133 9466017427 bcb1cfc585 3804 4 6aefd7f266 jpg
0.621316 37.57075 9466019467 326d474b2f 3704 4 7941a9e3ff jpg
0.617625 37.572811 9466024941 3445bba1e9 7453 8 40c16669f7 jpg
0.61548 37.574786 9466031833 bc3b9c0e9e 3827 4 10b40e3339 jpg
0.627238 37.637444 9466094045 5525eb4d35 3719 4 bc77d6516b jpg
0.595825 37.56775 9466139999 f61719b53d 3680 4 c859f398e0 jpg
0.626552 37.64843 9466221175 a59d632575 7397 8 aa5a45b99f jpg
0.61505 37.5747 9468647224 e1a2a48484 3823 4 4815503beb jpg
0.603291 37.577705 9468649014 25b4b57e85 7436 8 840777c759 jpg
0.623202 37.62345 9468661054 9a11e0ef62 3689 4 fafffab61d jpg
0.616038 37.553116 9468794256 7eaa51fbde 5340 6 3a3b6a785b jpg
0.619213 37.555088 9468798022 e81aeffc66 7377 8 0fa28dd418 jpg
